Customer_ID,Avg_Risk_Score,Max_Risk_Score,High_Risk_Txn_Count,Customer_Risk_Tier
CUST100000,29.232444444444447,82.76,5,Low
CUST100001,34.99288888888889,71.59,4,Low
CUST100002,47.27909090909091,70.0,5,Medium
CUST100003,38.73263157894737,83.33,4,Medium
CUST100004,30.292439024390244,69.65,6,Low
CUST100005,43.93344827586207,83.06,5,Medium
CUST100006,32.36055555555556,56.67,0,Low
CUST100007,27.17921052631579,73.85,2,Low
CUST100008,28.58611111111111,73.75,3,Low
CUST100009,34.91184210526316,73.45,4,Low
CUST100010,31.571428571428573,67.2,1,Low
CUST100011,31.54722222222222,75.27,4,Low
CUST100012,34.14344827586207,72.61,12,Low
CUST100013,26.924418604651162,71.0,2,Low
CUST100014,33.68966666666667,69.83,4,Low
CUST100015,30.576046511627908,68.29,5,Low
CUST100016,26.61051282051282,71.07,2,Low
CUST100017,35.165217391304346,73.15,5,Medium
CUST100018,27.332,71.8,2,Low
CUST100019,29.550285714285714,77.86,1,Low
CUST100020,36.095370370370375,70.12,4,Medium
CUST100021,37.10151515151515,81.15,4,Medium
CUST100022,47.893157894736845,80.26,8,Medium
CUST100023,30.11162162162162,67.98,2,Low
CUST100024,29.988717948717948,72.62,2,Low
CUST100025,31.318108108108106,75.23,5,Low
CUST100026,28.52032258064516,67.59,2,Low
CUST100027,33.77975,80.32,4,Low
CUST100028,31.414054054054052,72.56,2,Low
CUST100029,28.14627906976744,62.74,2,Low
CUST100030,33.32525,75.57,4,Low
CUST100031,42.41878048780488,75.99,4,Medium
CUST100032,33.85553191489362,77.57,5,Low
CUST100033,25.21925,72.1,2,Low
CUST100034,31.103095238095236,71.86,2,Low
CUST100035,32.0671875,72.84,3,Low
CUST100036,34.39692307692308,61.37,3,Low
CUST100037,31.058823529411764,71.63,5,Low
CUST100038,32.67177777777778,77.69,5,Low
CUST100039,32.406129032258065,69.4,1,Low
CUST100040,33.40942857142857,72.41,2,Low
CUST100041,29.908333333333335,76.07,1,Low
CUST100042,30.40717948717949,68.71,2,Low
CUST100043,32.71022222222222,70.66,5,Low
CUST100044,29.97285714285714,73.5,2,Low
CUST100045,40.48742857142857,75.2,6,Medium
CUST100046,27.523953488372094,72.17,2,Low
CUST100047,32.594883720930234,74.98,5,Low
CUST100048,26.11875,66.57,2,Low
CUST100049,32.89909090909091,63.9,2,Low
CUST100050,33.18571428571428,70.45,4,Low
CUST100051,33.898536585365854,74.88,3,Low
CUST100052,30.23744186046512,62.17,1,Low
CUST100053,35.138400000000004,75.99,1,Medium
CUST100054,31.092499999999998,65.97,4,Low
CUST100055,30.08238095238095,76.05,3,Low
CUST100056,29.04054054054054,70.5,5,Low
